epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,373.859,1.00722,0.72476,1.08305,0.74944,0.69697,0.75179,0.47337,1.33834,1.09087,1.3561,0.001109,0.001109,0.001109
92,377.969,0.98026,0.69435,1.08681,0.79324,0.68594,0.75202,0.44583,1.40415,1.14908,1.42775,0.0010991,0.0010991,0.0010991
93,382.113,1.0542,0.74197,1.11883,0.80089,0.66061,0.76207,0.45942,1.44157,1.11205,1.41009,0.0010892,0.0010892,0.0010892
94,386.144,0.98922,0.70811,1.08584,0.74391,0.67782,0.73689,0.45266,1.38542,1.11034,1.38682,0.0010793,0.0010793,0.0010793
95,390.191,0.97543,0.67695,1.0689,0.78559,0.66061,0.72677,0.44504,1.42665,1.15979,1.40005,0.0010694,0.0010694,0.0010694
96,394.291,0.94124,0.66313,1.05484,0.77298,0.68182,0.73952,0.45691,1.39335,1.0801,1.38482,0.0010595,0.0010595,0.0010595
97,398.331,0.96315,0.67499,1.09148,0.80035,0.67576,0.7556,0.46516,1.41037,1.10105,1.38231,0.0010496,0.0010496,0.0010496
98,402.469,0.94849,0.64466,1.06937,0.75754,0.67224,0.73501,0.45052,1.42196,1.12056,1.3928,0.0010397,0.0010397,0.0010397
99,406.469,0.98645,0.74726,1.10867,0.72151,0.70303,0.72695,0.45132,1.37256,1.19129,1.373,0.0010298,0.0010298,0.0010298
100,410.534,0.93256,0.687,1.06984,0.75809,0.63939,0.71641,0.4378,1.43321,1.2171,1.4143,0.0010199,0.0010199,0.0010199
101,414.559,0.93787,0.63224,1.06464,0.85497,0.62524,0.74012,0.47029,1.36309,1.13119,1.36104,0.00101,0.00101,0.00101
102,418.571,0.92016,0.6294,1.05257,0.82736,0.66804,0.76066,0.47312,1.44668,1.12479,1.42264,0.0010001,0.0010001,0.0010001
103,422.686,0.91021,0.61457,1.0479,0.84545,0.64649,0.76078,0.4744,1.42571,1.20258,1.38739,0.0009902,0.0009902,0.0009902
104,426.83,0.88916,0.61619,1.03641,0.76855,0.65152,0.73204,0.43975,1.49804,1.20981,1.4783,0.0009803,0.0009803,0.0009803
105,430.908,0.94024,0.62735,1.05679,0.82916,0.6697,0.76611,0.46174,1.42565,1.06104,1.39624,0.0009704,0.0009704,0.0009704
106,434.935,0.90821,0.61058,1.03526,0.82292,0.6697,0.784,0.49099,1.38558,1.03178,1.38329,0.0009605,0.0009605,0.0009605
107,439.167,0.89362,0.60382,1.03527,0.80637,0.69394,0.78702,0.49273,1.38923,1.05942,1.36762,0.0009506,0.0009506,0.0009506
108,443.306,0.89687,0.65672,1.04446,0.74695,0.63636,0.71697,0.42616,1.50375,1.18584,1.49821,0.0009407,0.0009407,0.0009407
109,447.403,0.89461,0.63114,1.05287,0.82222,0.70303,0.77512,0.47342,1.4307,1.092,1.42273,0.0009308,0.0009308,0.0009308
110,451.408,0.90347,0.6998,1.0829,0.81604,0.6697,0.75861,0.46457,1.40988,1.14475,1.38949,0.0009209,0.0009209,0.0009209
111,455.375,0.89179,0.61363,1.03009,0.78154,0.70909,0.76221,0.45589,1.43156,1.12451,1.41229,0.000911,0.000911,0.000911
112,459.424,0.92212,0.63086,1.04888,0.85987,0.63636,0.76345,0.47597,1.39025,1.13566,1.36766,0.0009011,0.0009011,0.0009011
113,463.414,0.85685,0.60271,1.0234,0.83747,0.65758,0.7656,0.4617,1.46126,1.1392,1.43898,0.0008912,0.0008912,0.0008912
114,467.387,0.89302,0.58398,1.04423,0.74924,0.68788,0.74675,0.46282,1.41642,1.08676,1.40207,0.0008813,0.0008813,0.0008813
115,471.352,0.90819,0.62209,1.03513,0.78633,0.66364,0.74449,0.46758,1.4026,1.1407,1.40651,0.0008714,0.0008714,0.0008714
116,475.411,0.90651,0.62284,1.05261,0.81535,0.6303,0.72006,0.45556,1.36069,1.19673,1.33936,0.0008615,0.0008615,0.0008615
117,479.397,0.86169,0.58675,1.0231,0.73683,0.64848,0.72696,0.44182,1.41456,1.1304,1.41865,0.0008516,0.0008516,0.0008516
118,483.417,0.90016,0.62791,1.0473,0.78937,0.68138,0.75824,0.46001,1.46315,1.10322,1.41381,0.0008417,0.0008417,0.0008417
119,487.472,0.83479,0.56166,1.01369,0.83972,0.6697,0.75167,0.47306,1.39943,1.13328,1.37153,0.0008318,0.0008318,0.0008318
120,491.496,0.85399,0.58132,1.01668,0.83408,0.64242,0.74412,0.46002,1.4747,1.15039,1.44379,0.0008219,0.0008219,0.0008219
121,495.51,0.90122,0.63438,1.04366,0.83098,0.61515,0.71594,0.42716,1.46308,1.15117,1.42889,0.000812,0.000812,0.000812
122,499.631,0.85192,0.57804,1.02832,0.83503,0.66061,0.75589,0.46782,1.42259,1.12208,1.41884,0.0008021,0.0008021,0.0008021
123,503.63,0.85216,0.56978,1.0222,0.85221,0.60909,0.74736,0.46558,1.39622,1.14047,1.38915,0.0007922,0.0007922,0.0007922
124,507.731,0.8683,0.59757,1.03196,0.85796,0.65152,0.77783,0.48036,1.42593,1.04297,1.41378,0.0007823,0.0007823,0.0007823
125,511.717,0.85096,0.56732,1.02655,0.78912,0.67879,0.75023,0.47447,1.3683,1.17103,1.37899,0.0007724,0.0007724,0.0007724
126,515.771,0.86265,0.56737,1.02434,0.85642,0.62727,0.72758,0.44648,1.44374,1.25061,1.42805,0.0007625,0.0007625,0.0007625
127,519.771,0.85046,0.60994,1.02029,0.78951,0.65152,0.73282,0.45129,1.40405,1.19009,1.41028,0.0007526,0.0007526,0.0007526
128,523.797,0.86657,0.58681,1.03118,0.82881,0.63085,0.7511,0.46195,1.4372,1.0879,1.44422,0.0007427,0.0007427,0.0007427
129,527.865,0.8434,0.57382,1.02348,0.7719,0.63636,0.71911,0.43448,1.48626,1.16424,1.438,0.0007328,0.0007328,0.0007328
130,531.88,0.86133,0.58359,1.01942,0.79587,0.6697,0.74028,0.465,1.41251,1.19188,1.39032,0.0007229,0.0007229,0.0007229
131,535.859,0.83556,0.5721,1.01801,0.84102,0.63636,0.73969,0.4605,1.40919,1.12122,1.41332,0.000713,0.000713,0.000713
132,539.928,0.94491,0.74938,1.14691,0.76035,0.71147,0.7644,0.47458,1.4096,1.09293,1.39922,0.0007031,0.0007031,0.0007031
133,543.903,0.80703,0.54677,0.99714,0.82209,0.64412,0.754,0.45839,1.46335,1.1633,1.45231,0.0006932,0.0006932,0.0006932
134,547.912,0.8124,0.54428,1.00328,0.79466,0.65455,0.75404,0.45407,1.47905,1.18926,1.45099,0.0006833,0.0006833,0.0006833
135,551.955,0.83326,0.54635,1.02237,0.82061,0.63765,0.73632,0.43705,1.46815,1.2195,1.4499,0.0006734,0.0006734,0.0006734
136,555.961,0.8427,0.57528,1.01045,0.81726,0.65758,0.76425,0.4714,1.41431,1.07174,1.40238,0.0006635,0.0006635,0.0006635
137,560.038,0.86801,0.58734,1.04327,0.77778,0.6788,0.76041,0.47708,1.3976,1.13349,1.39409,0.0006536,0.0006536,0.0006536
