epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,755.921,0.89139,0.50005,0.00646,0.84428,0.62121,0.75143,0.49314,1.51225,1.38078,0.01505,0.000713,0.000713,0.000713
132,761.799,0.89075,0.52272,0.00677,0.81685,0.66061,0.74506,0.49324,1.50493,1.40229,0.01458,0.0007031,0.0007031,0.0007031
133,767.705,0.8696,0.46983,0.00593,0.80732,0.64752,0.73965,0.47303,1.55747,1.55386,0.01509,0.0006932,0.0006932,0.0006932
134,773.553,0.85166,0.47393,0.00606,0.77843,0.65152,0.73578,0.47973,1.50454,1.43654,0.01465,0.0006833,0.0006833,0.0006833
135,779.361,0.91688,0.48175,0.00688,0.783,0.66697,0.75724,0.49896,1.5058,1.44429,0.01446,0.0006734,0.0006734,0.0006734
136,785.318,0.91149,0.524,0.00627,0.77048,0.69394,0.76174,0.5039,1.4687,1.32311,0.01403,0.0006635,0.0006635,0.0006635
137,791.315,0.89917,0.52858,0.0068,0.78705,0.70561,0.76094,0.49075,1.5066,1.24403,0.01422,0.0006536,0.0006536,0.0006536
138,797.108,0.88048,0.48184,0.00605,0.78196,0.68466,0.77857,0.50246,1.46537,1.21227,0.01424,0.0006437,0.0006437,0.0006437
139,802.755,0.82844,0.45129,0.00593,0.78638,0.66667,0.75897,0.49909,1.44335,1.34114,0.01395,0.0006338,0.0006338,0.0006338
140,808.358,0.86003,0.44602,0.00664,0.78997,0.66061,0.75263,0.49095,1.48624,1.39877,0.01415,0.0006239,0.0006239,0.0006239
141,814.234,0.84991,0.58984,0.00784,0.76223,0.69394,0.76248,0.4956,1.48669,1.33306,0.01423,0.000614,0.000614,0.000614
142,819.862,0.82915,0.43979,0.00605,0.7809,0.67576,0.76525,0.48374,1.48359,1.27838,0.01476,0.0006041,0.0006041,0.0006041
143,825.533,0.84927,0.63696,0.00588,0.74834,0.68485,0.75828,0.48523,1.51342,1.31341,0.015,0.0005942,0.0005942,0.0005942
144,831.327,0.84514,0.46466,0.00621,0.77648,0.65152,0.73205,0.47472,1.51301,1.42486,0.01472,0.0005843,0.0005843,0.0005843
145,837.03,0.84655,0.4778,0.00582,0.76915,0.68654,0.74716,0.48218,1.4876,1.35155,0.01428,0.0005744,0.0005744,0.0005744
146,842.66,0.81458,0.44199,0.00567,0.79541,0.66061,0.74617,0.48827,1.49569,1.40684,0.01471,0.0005645,0.0005645,0.0005645
147,848.301,0.80881,0.44797,0.0064,0.80284,0.64545,0.74257,0.49201,1.48007,1.39226,0.0141,0.0005546,0.0005546,0.0005546
